product_id,avg_daily_demand,lead_time,reorder_point,current_stock,stock_status
3762,2.5185185185185186,9,22.7,38,Stock OK
3763,1.0,6,6.0,44,Stock OK
3774,1.7142857142857142,7,12.0,33,Stock OK
3806,1.0,9,9.0,21,Stock OK
3928,1.0,5,5.0,26,Stock OK
3936,1.2,10,12.0,46,Stock OK
3959,1.3529411764705883,7,9.5,36,Stock OK
3978,2.2222222222222223,7,15.6,5,Reorder Needed
4006,1.5,9,13.5,33,Stock OK
4102,1.0,4,4.0,1,Reorder Needed
4131,2.0,5,10.0,6,Reorder Needed
4185,3.5,9,31.5,37,Stock OK
4200,1.0,5,5.0,2,Reorder Needed
4210,1.0,5,5.0,5,Stock OK
4216,1.0,10,10.0,26,Stock OK
4229,1.8333333333333333,7,12.8,41,Stock OK
4246,1.0,6,6.0,47,Stock OK
4382,1.0,10,10.0,13,Stock OK
4476,1.0,10,10.0,12,Stock OK
4497,5.258064516129032,5,26.3,5,Reorder Needed
4528,1.0,8,8.0,2,Reorder Needed
4540,1.0,7,7.0,4,Reorder Needed
4542,1.5714285714285714,4,6.3,27,Stock OK
4547,1.0,10,10.0,50,Stock OK
4549,1.0,6,6.0,10,Stock OK
4552,1.6666666666666667,8,13.3,13,Reorder Needed
4554,3.4615384615384617,8,27.7,44,Stock OK
4560,1.6,4,6.4,2,Reorder Needed
4565,1.0,10,10.0,26,Stock OK
4569,1.25,6,7.5,15,Stock OK
4571,1.9583333333333333,7,13.7,46,Stock OK
4572,1.0,3,3.0,10,Stock OK
4575,1.1428571428571428,6,6.9,22,Stock OK
4581,1.0,4,4.0,40,Stock OK
4586,1.1875,8,9.5,25,Stock OK
4587,1.0,7,7.0,15,Stock OK
4590,1.0,6,6.0,13,Stock OK
4591,2.3703703703703702,3,7.1,8,Stock OK
4592,1.0,3,3.0,21,Stock OK
4594,1.4285714285714286,5,7.1,21,Stock OK
4597,1.0,5,5.0,22,Stock OK
4600,8.633333333333333,9,77.7,46,Reorder Needed
4602,1.1111111111111112,4,4.4,33,Stock OK
4604,1.4,10,14.0,45,Stock OK
4605,1.0,6,6.0,27,Stock OK
4607,5.866666666666666,6,35.2,40,Stock OK
4609,1.1,10,11.0,50,Stock OK
4612,1.0,9,9.0,22,Stock OK
4619,1.0,8,8.0,30,Stock OK
4620,1.1666666666666667,8,9.3,9,Reorder Needed
4621,1.5454545454545454,9,13.9,45,Stock OK
4625,1.0,8,8.0,35,Stock OK
4631,1.2666666666666666,5,6.3,18,Stock OK
4632,1.76,6,10.6,42,Stock OK
4637,1.8,9,16.2,5,Reorder Needed
4638,1.3571428571428572,6,8.1,27,Stock OK
4639,1.8095238095238095,10,18.1,6,Reorder Needed
4640,1.4705882352941178,3,4.4,32,Stock OK
4642,1.0,5,5.0,8,Stock OK
4645,1.5,7,10.5,39,Stock OK
4648,1.0,5,5.0,21,Stock OK
4649,2.2083333333333335,9,19.9,18,Reorder Needed
4650,1.1818181818181819,7,8.3,14,Stock OK
4653,1.0909090909090908,3,3.3,15,Stock OK
4654,1.4705882352941178,9,13.2,42,Stock OK
4661,1.0,4,4.0,26,Stock OK
4663,1.1111111111111112,6,6.7,44,Stock OK
4664,1.2857142857142858,3,3.9,32,Stock OK
4666,1.0,6,6.0,39,Stock OK
4667,1.0,8,8.0,28,Stock OK
4670,1.0769230769230769,4,4.3,39,Stock OK
4671,1.0,4,4.0,43,Stock OK
4672,1.0,3,3.0,32,Stock OK
4675,1.0,4,4.0,13,Stock OK
4680,1.588235294117647,7,11.1,15,Stock OK
4681,1.0,4,4.0,18,Stock OK
4683,1.3333333333333333,6,8.0,39,Stock OK
4685,1.0,6,6.0,6,Stock OK
4686,1.0,9,9.0,11,Stock OK
4689,1.7058823529411764,6,10.2,32,Stock OK
4698,1.0,9,9.0,40,Stock OK
4703,1.0,6,6.0,20,Stock OK
4705,1.3333333333333333,7,9.3,33,Stock OK
4708,1.0,10,10.0,40,Stock OK
4711,1.0,9,9.0,8,Reorder Needed
4713,1.0,5,5.0,35,Stock OK
4719,1.2,8,9.6,5,Reorder Needed
4743,1.0,3,3.0,35,Stock OK
4750,1.0,6,6.0,47,Stock OK
4751,1.3,4,5.2,14,Stock OK
4753,1.0,10,10.0,21,Stock OK
4754,1.3846153846153846,6,8.3,47,Stock OK
4758,1.4,4,5.6,24,Stock OK
4764,1.7142857142857142,8,13.7,17,Stock OK
4765,1.9523809523809523,8,15.6,18,Stock OK
4766,1.4545454545454546,8,11.6,34,Stock OK
4768,6.833333333333333,4,27.3,12,Reorder Needed
4772,1.2,6,7.2,16,Stock OK
4775,1.1428571428571428,8,9.1,4,Reorder Needed
4778,1.0,7,7.0,25,Stock OK
4781,1.0,9,9.0,34,Stock OK
4782,2.0,4,8.0,28,Stock OK
4783,1.0,4,4.0,46,Stock OK
4785,1.1578947368421053,6,6.9,11,Stock OK
4788,1.0,4,4.0,13,Stock OK
4793,1.2142857142857142,4,4.9,31,Stock OK
4795,1.0,8,8.0,25,Stock OK
